Title,Date
"GHOUL: Saison 1: Les cauchemars vous hanteront","28/10/2019"
"GHOUL: Saison 1: D'un feu sans fumée","28/10/2019"
"Black Summer: Saison 1: Flux migratoire","28/10/2019"
"Lucifer: Saison 1: Au commencement...","28/10/2019"
"Peaky Blinders: Saison 3: Épisode 1","24/10/2019"
"Peaky Blinders: Saison 2: Épisode 6","24/10/2019"
"Peaky Blinders: Saison 2: Épisode 5","23/10/2019"
"Peaky Blinders: Saison 2: Épisode 4","23/10/2019"
"Peaky Blinders: Saison 2: Épisode 3","22/10/2019"
"Peaky Blinders: Saison 2: Épisode 2","22/10/2019"
"Peaky Blinders: Saison 2: Épisode 1","11/10/2019"
"Peaky Blinders: Saison 1: Épisode 6","11/10/2019"
"Peaky Blinders: Saison 1: Épisode 5","09/10/2019"
"Peaky Blinders: Saison 1: Épisode 4","09/10/2019"
"Peaky Blinders: Saison 1: Épisode 3","08/10/2019"
"Peaky Blinders: Saison 1: Épisode 2","08/10/2019"
"Peaky Blinders: Saison 1: Épisode 1","08/10/2019"
"Outlander: Saison 1: Sassenach","08/10/2019"
"Along with the Gods: The Last 49 Days","08/10/2019"
"Arrow: Saison 5: Rêve ou réalité","08/10/2019"
"Arrow: Saison 5: Vigilante","06/10/2019"
"Arrow: Saison 5: Tout commence","06/10/2019"
"Polar","06/10/2019"
"Knightfall: Saison 2: Le souffle de la vie, la foi en la croix","06/10/2019"
"Knightfall: Saison 2: Foi","06/10/2019"
"Knightfall: Saison 1: Vous savez ce qu'il faut faire","06/10/2019"
"Killer Elite","05/10/2019"
"Arrow: Saison 5: La cible humaine","04/10/2019"
"Arrow: Saison 5: Pénitence","04/10/2019"
"Arrow: Saison 5: Une question de confiance","04/10/2019"
"Last Knights","02/10/2019"
"The Last Kingdom: Saison 3: Épisode 10","02/10/2019"
"The Last Kingdom: Saison 3: Épisode 9","02/10/2019"
"The Last Kingdom: Saison 3: Épisode 8","02/10/2019"
"The Last Kingdom: Saison 3: Épisode 7","02/10/2019"
"The Last Kingdom: Saison 3: Épisode 6","02/10/2019"
"The Last Kingdom: Saison 3: Épisode 5","01/10/2019"
"The Last Kingdom: Saison 3: Épisode 4","01/10/2019"
"The Last Kingdom: Saison 3: Épisode 3","01/10/2019"
"The Last Kingdom: Saison 3: Épisode 2","01/10/2019"
"The Last Kingdom: Saison 3: Épisode 1","30/09/2019"
"The Last Kingdom: Saison 2: Épisode 8","30/09/2019"
"The Last Kingdom: Saison 2: Épisode 7","29/09/2019"
"The Last Kingdom: Saison 2: Épisode 6","29/09/2019"
"The Last Kingdom: Saison 2: Épisode 5","29/09/2019"
"The Last Kingdom: Saison 2: Épisode 4","29/09/2019"
"The Last Kingdom: Saison 2: Épisode 3","26/09/2019"
"The Last Kingdom: Saison 2: Épisode 2","26/09/2019"
"The Last Kingdom: Saison 2: Épisode 1","26/09/2019"
"The Last Kingdom: Saison 1: Épisode 8","26/09/2019"
"The Last Kingdom: Saison 1: Épisode 7","26/09/2019"
"The Last Kingdom: Saison 1: Épisode 6","26/09/2019"
"The Last Kingdom: Saison 1: Épisode 5","26/09/2019"
"The Last Kingdom: Saison 1: Épisode 4","25/09/2019"
"The Last Kingdom: Saison 1: Épisode 3","25/09/2019"
"The Last Kingdom: Saison 1: Épisode 2","24/09/2019"
"The Last Kingdom: Saison 1: Épisode 1","24/09/2019"
"Arrow: Saison 5: Nouvelles recrues","24/09/2019"
"Arrow: Saison 5: Héritage","23/09/2019"
"Arrow: Saison 4: Rupture","23/09/2019"
"Arrow: Saison 4: Le déluge","23/09/2019"
"Arrow: Saison 4: Avant la fin du monde","23/09/2019"
"Arrow: Saison 4: La phase finale","23/09/2019"
"Arrow: Saison 4: Le chant du Canary","23/09/2019"
"Arrow: Saison 4: Dernière mission","22/09/2019"
"Arrow: Saison 1: Le retour du naufragé","22/09/2019"
"Lucifer: Saison 4: C'est qui le nouveau roi de l'enfer ?","22/09/2019"
"Lucifer: Saison 4: Sauver Lucifer","22/09/2019"
